Event ID 	 Event type 	 Covered text 	 combinedName 	 Paper ID 	 sentence 	 CL 	 Uncertainty
E6	Gene_expression	expression	Expression__Doxorubicin______BCL2L1_E6	/tmp/Expression__Doxorubicin______BCL2L1.txt	Repression of endogenous Bcl-xL and XIAP expression by daunorubicin, doxorubicin and mitoxantrone was confirmed by quantitative RT-PCR analysis (Fig. 4D).	false	Certain
E7	Regulation	inhibits	Expression__Doxorubicin______BCL2L1_E7	/tmp/Expression__Doxorubicin______BCL2L1.txt	Here we show that Doxorubicin inhibits Bcl2 and Bcl-xL, but induces Bcl-xS expression.	false	Certain
E1	Regulation	regulate	positive_PromoterBinding__STAT3______BIRC5_E1	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	positive PromoterBinding: STAT3 --+> BIRC5 :  Since Stat3 has been shown to directly bind and regulate the survivin promoter, we sought to determine whether survivin levels were being altered in our experiments.	false	Certain
E3	Negative_regulation	blocks	positive_PromoterBinding__STAT3______BIRC5_E3	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Studies in human breast cancer cells found that expression of survivin is increased through direct STAT3 binding to the survivin promoter whereas STAT3 inhibition blocks survivin transcription and induces apoptosis of tumor cells .	false	Certain
E4	Transcription	transcription	positive_PromoterBinding__STAT3______BIRC5_E4	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Studies in human breast cancer cells found that expression of survivin is increased through direct STAT3 binding to the survivin promoter whereas STAT3 inhibition blocks survivin transcription and induces apoptosis of tumor cells .	false	Certain
E15	Binding	bind	positive_PromoterBinding__STAT3______BIRC5_E15	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Since phospho-STAT3 was reported to bind to the promoter of the survivin gene [32], we assessed survivin expression in human cytomegalovirus-infected HepG2 cells.	false	Certain
E6	Regulation	regulating	positive_PromoterBinding__STAT3______BIRC5_E6	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Binding of STAT3 to the core survivin promoter suggests that STAT3 plays a critical role in regulating survivin expression, because the core survivin promoter regulates the majority of transcriptional activity.	false	Certain
E7	Gene_expression	expression	positive_PromoterBinding__STAT3______BIRC5_E7	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Binding of STAT3 to the core survivin promoter suggests that STAT3 plays a critical role in regulating survivin expression, because the core survivin promoter regulates the majority of transcriptional activity.	false	Certain
E8	Negative_regulation	blocked	positive_PromoterBinding__STAT3______BIRC5_E8	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Furthermore, direct inhibition of Stat3 signaling blocked the expression of Survivin protein and induced apoptosis in breast cancer cells.	false	Certain
E9	Negative_regulation	reduced	positive_PromoterBinding__STAT3______BIRC5_E9	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Furthermore, the inhibition of STAT3 or IL-6 induced apoptosis and reduced survivin expression, a member of the inhibitor of apoptosis protein family in COX-2-S cells.	false	Certain
E10	Gene_expression	expression	positive_PromoterBinding__STAT3______BIRC5_E10	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Furthermore, the inhibition of STAT3 or IL-6 induced apoptosis and reduced survivin expression, a member of the inhibitor of apoptosis protein family in COX-2-S cells.	false	Certain
E11	Transcription	transcription	positive_PromoterBinding__STAT3______BIRC5_E11	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	XPO1 inhibition repressed Survivin transcription by inhibiting CREB-binding protein-mediated STAT3 acetylation, and blocking STAT3 binding to the Survivin promoter.	false	Certain
E12	Regulation	regulates	positive_PromoterBinding__STAT3______BIRC5_E12	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Leukemia inhibitory factor-induced signal transducer and activator of transcription-3 (STAT3) is responsible for embryonic stem cell survival, and STAT3 regulates Survivin expression in breast cancer cells.	false	Certain
E13	Gene_expression	expression	positive_PromoterBinding__STAT3______BIRC5_E13	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	Leukemia inhibitory factor-induced signal transducer and activator of transcription-3 (STAT3) is responsible for embryonic stem cell survival, and STAT3 regulates Survivin expression in breast cancer cells.	false	Certain
E14	Regulation	regulates	positive_PromoterBinding__STAT3______BIRC5_E14	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	This was confirmed in Survivin gene promoter studies and chromatin immunoprecipitation assays showing that Stat3 directly binds to and regulates the Survivin promoter.	false	Certain
E2	Gene_expression	expression	positive_PromoterBinding__STAT3______BIRC5_E2	/tmp/positive_PromoterBinding__STAT3______BIRC5.txt	The results suggest that increased survivin expression is frequent in ECs and may be dependent on STAT-3 and PI3 K/AKT activation.	false	Uncertain
E1	Positive_regulation	increases	positive_ProtModification__MAP3K1______MAP2K4_E1	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	positive ProtModification: MAP3K1 --+> MAP2K4 :  Furthermore, activation of MEKK1 increases SEK1/MKK4 but not MKK3 or MKK6 activity.	false	Certain
E4	Positive_regulation	increases	positive_ProtModification__MAP3K1______MAP2K4_E4	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	positive ProtModification: MAP3K1 --+> MAP2K4 :  Furthermore, activation of MEKK1 increases SEK1/MKK4 but not MKK3 or MKK6 activity.	false	Certain
E2	Regulation	Upstream	positive_ProtModification__MAP3K1______MAP2K4_E2	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	Upstream of SEK1/MKK4 in the SAPK cascade is MEKK1.	false	Certain
E6	Activation	activator	positive_ProtModification__MAP3K1______MAP2K4_E6	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	Although originally named because of its ability to activate MEK1, MEKK1 is a much more specific activator of SEK1/MKK4 than it is of MEK1.	false	Certain
E7	Phosphorylation	phosphorylates	positive_ProtModification__MAP3K1______MAP2K4_E7	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	MEKK1 phosphorylates and activates MKK1 and MKK4, leading to ERK1/2 and JNK activation.	false	Certain
E10	Activation	activates	positive_ProtModification__MAP3K1______MAP2K4_E10	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	In contrast, MEKK1 activates SKK1/MKK4 more efficiently than MLK2, but barely activates SKK4/MKK7.	false	Certain
E11	Positive_regulation	activates	positive_ProtModification__MAP3K1______MAP2K4_E11	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	In contrast, MEKK1 activates SKK1/MKK4 more efficiently than MLK2, but barely activates SKK4/MKK7.	false	Certain
E3	Positive_regulation	activation	positive_ProtModification__MAP3K1______MAP2K4_E3	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	The results also demonstrate that c-Abl induces MEKK-1-mediated phosphorylation and activation of SEK1-SAPK in coupled kinase assays.	false	Certain
E12	Phosphorylation	phosphorylates	positive_ProtModification__MAP3K1______MAP2K4_E12	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	Map3k1 (MEKK1) phosphorylates Map2k4 (SEK) Once activated, MEKK1 phosphorylates the MAP2K MKK4, which in turn phosphorylates JNK.	false	Certain
E13	Phosphorylation	phosphorylates	positive_ProtModification__MAP3K1______MAP2K4_E13	/tmp/positive_ProtModification__MAP3K1______MAP2K4.txt	Map3k1 (MEKK1) phosphorylates Map2k4 (SEK) Once activated, MEKK1 phosphorylates the MAP2K MKK4, which in turn phosphorylates JNK.	false	Certain
E1	Activation	activation	positive_DirectRegulation__JAK1______PI3K_E1	/tmp/positive_DirectRegulation__JAK1______PI3K.txt	positive DirectRegulation: JAK1 --+> PI3K :  Catalytically active JAK1 is known to be required for PI3K activation in response to IFN-α (33).	false	Certain
E2	Positive_regulation	activation	positive_DirectRegulation__JAK1______PI3K_E2	/tmp/positive_DirectRegulation__JAK1______PI3K.txt	positive DirectRegulation: JAK1 --+> PI3K :  Catalytically active JAK1 is known to be required for PI3K activation in response to IFN-α (33).	false	Certain
E1	Gene_expression	expression	positive_Expression__Dexamethasone______BCL2L1_E1	/tmp/positive_Expression__Dexamethasone______BCL2L1.txt	positive Expression: Dexamethasone --+> BCL2L1 :  Withdrawal of dexamethasone after up-regulation of bcl-XL resulted in a decrease in bcl-XL expression and a concomitant increase in cell susceptibility to induction of apoptosis.	false	Certain
E2	Gene_expression	level	positive_Expression__Dexamethasone______BCL2L1_E2	/tmp/positive_Expression__Dexamethasone______BCL2L1.txt	Bak expression was increased by celecoxib and dexamethasone, while Bcl-XL level was declined only by dexamethasone.	false	Certain
E3	Positive_regulation	upregulated	positive_Expression__Dexamethasone______BCL2L1_E3	/tmp/positive_Expression__Dexamethasone______BCL2L1.txt	Expression of bcl-XL protein level was upregulated by dexamethasone.	false	Certain
E1	Binding	binding	negative_Regulation__PDCD4______translation_E1	/tmp/negative_Regulation__PDCD4______translation.txt	negative Regulation: PDCD4 ---| translation :  By binding to eukaryotic translation initiation factor 4A, PDCD4 can directly inhibit translation initiation and then delay the process of protein synthesis.	false	Certain
E1	Positive_regulation	activated	positive_ProtModification__MAP2K2______MAPK3_E1	/tmp/positive_ProtModification__MAP2K2______MAPK3.txt	positive ProtModification: MAP2K2 --+> MAPK3 :  ERK1 and ERK2 are activated by dual specificity kinases MEK1 and MEK2.	false	Certain
E2	Activation	activated	positive_ProtModification__MAP2K2______MAPK3_E2	/tmp/positive_ProtModification__MAP2K2______MAPK3.txt	positive ProtModification: MAP2K2 --+> MAPK3 :  ERK1 and ERK2 are activated by dual specificity kinases MEK1 and MEK2.	false	Certain
E4	Phosphorylation	phosphorylates	positive_ProtModification__MAP2K2______MAPK3_E4	/tmp/positive_ProtModification__MAP2K2______MAPK3.txt	Recombinant MEK2 produced in bacteria phosphorylates a kinase-inactive Erk-1 on tyrosine and threonine, whereas a kinase-inactive mutant MEK2 does not.	false	Certain
E1	Positive_regulation	resulted	Expression__Dexamethasone______TP53_E1	/tmp/Expression__Dexamethasone______TP53.txt	Expression: Dexamethasone ---> TP53 :  Continuous treatment with dexamethasone resulted in continued p53 expression for 16 days, but beyond that time expression ceased and could not be reinduced.	false	Certain
E2	Gene_expression	expression	Expression__Dexamethasone______TP53_E2	/tmp/Expression__Dexamethasone______TP53.txt	Expression: Dexamethasone ---> TP53 :  Continuous treatment with dexamethasone resulted in continued p53 expression for 16 days, but beyond that time expression ceased and could not be reinduced.	false	Certain
E3	Gene_expression	expression	Expression__Dexamethasone______TP53_E3	/tmp/Expression__Dexamethasone______TP53.txt	TMCC-1 clones obtained by transfection with wild-type-p53 gene had an altered morphology especially after induction of p53 expression by treatment with dexamethazone.	false	Certain
E4	Gene_expression	expression	Expression__Dexamethasone______TP53_E4	/tmp/Expression__Dexamethasone______TP53.txt	Furthermore, dexamethasone induced a mild increase in sgk promoter activity in the presence of wild-type p53.  puromycin aminonucleoside-induced apoptosis was associated with increased p53 expression, which was completely blocked by dexamethasone.	false	Certain
E5	Negative_regulation	blocked	Expression__Dexamethasone______TP53_E5	/tmp/Expression__Dexamethasone______TP53.txt	Furthermore, dexamethasone induced a mild increase in sgk promoter activity in the presence of wild-type p53.  puromycin aminonucleoside-induced apoptosis was associated with increased p53 expression, which was completely blocked by dexamethasone.	false	Certain
E6	Negative_regulation	inhibited	Expression__Dexamethasone______TP53_E6	/tmp/Expression__Dexamethasone______TP53.txt	Dexamethasone inhibited the increase of mutated p53 expression but had little effect on p2Wafl/Cip1 expression.	false	Certain
E7	Gene_expression	expression	Expression__Dexamethasone______TP53_E7	/tmp/Expression__Dexamethasone______TP53.txt	Dexamethasone inhibited the increase of mutated p53 expression but had little effect on p2Wafl/Cip1 expression.	false	Certain
E8	Gene_expression	expression	Expression__Dexamethasone______TP53_E8	/tmp/Expression__Dexamethasone______TP53.txt	In a “DEX-on” cell line, dexamethasone-induced wild-type p53 protein expression led to cell growth inhibition and a significant decrease in steady-state mRNA level of DNA polymerase α catalytic subunit gene.	false	Certain
E10	Negative_regulation	decreased	Expression__Dexamethasone______TP53_E10	/tmp/Expression__Dexamethasone______TP53.txt	Irradiated C4-1 cells showed increased p53 expression, while dexamethasone treatment prior to irradiation decreased p53 protein expression.	false	Certain
E11	Gene_expression	expression	Expression__Dexamethasone______TP53_E11	/tmp/Expression__Dexamethasone______TP53.txt	Irradiated C4-1 cells showed increased p53 expression, while dexamethasone treatment prior to irradiation decreased p53 protein expression.	false	Certain
E12	Negative_regulation	decreases	Expression__Dexamethasone______TP53_E12	/tmp/Expression__Dexamethasone______TP53.txt	Dexamethasone decreases p53 and glucocorticoid receptor levels and inhibits expression of their target genes in HepG2[?]cells.	false	Certain
E1	Positive_regulation	promotes	positive_DirectRegulation__IL7______IL7R_E1	/tmp/positive_DirectRegulation__IL7______IL7R.txt	positive DirectRegulation: IL7 --+> IL7R :  It is well established that IL-7 promotes the transcriptional down-regulation of IL7RA, leading to decreased IL-7Ralpha surface expression.	false	Certain
E2	Gene_expression	expression	positive_DirectRegulation__IL7______IL7R_E2	/tmp/positive_DirectRegulation__IL7______IL7R.txt	positive DirectRegulation: IL7 --+> IL7R :  It is well established that IL-7 promotes the transcriptional down-regulation of IL7RA, leading to decreased IL-7Ralpha surface expression.	false	Certain
E3	Binding	binding	positive_DirectRegulation__IL7______IL7R_E3	/tmp/positive_DirectRegulation__IL7______IL7R.txt	Stimulation of the IL-7 pathway begins with IL-7 binding to its alpha-receptor, IL-7R alpha.	false	Certain
E4	Binding	binding	positive_DirectRegulation__IL7______IL7R_E4	/tmp/positive_DirectRegulation__IL7______IL7R.txt	Stimulation of the IL-7 pathway begins with IL-7 binding to its alpha-receptor, IL-7R alpha.	false	Certain
E5	Binding	binds	positive_DirectRegulation__IL7______IL7R_E5	/tmp/positive_DirectRegulation__IL7______IL7R.txt	IL-7 binds glycosylated IL-7Ralpha 300-fold more tightly than unglycosylated IL-7Ralpha, and the enhanced affinity is attributed primarily to an accelerated on rate.	false	Certain
E9	Binding	bind	positive_DirectRegulation__IL7______IL7R_E9	/tmp/positive_DirectRegulation__IL7______IL7R.txt	The murine IL-7R on CT6 was shown to bind IL-7 with dual affinity and was visualized as an affinity cross-linked complex of 93 kDa.	false	Certain
E10	Binding	associated	positive_DirectRegulation__IL7______IL7R_E10	/tmp/positive_DirectRegulation__IL7______IL7R.txt	Resistance to apoptosis of SP CD4(+) cells is conferred by a high expression of the IL-7 receptor (IL-7R) associated with the capacity of IL-7 to permanently up-regulate Bcl-2.	false	Certain
E6	Binding	Binding	positive_DirectRegulation__IL7______IL7R_E6	/tmp/positive_DirectRegulation__IL7______IL7R.txt	Binding of radiolabeled IL-7 to the recombinant IL-7 receptors produced curvilinear Scatchard plots containing high and low affinity classes.	false	Certain
E1	Activation	activates	positive_DirectRegulation__IL7R______JAK1_E1	/tmp/positive_DirectRegulation__IL7R______JAK1.txt	positive DirectRegulation: IL7R --+> JAK1 :  Upon IL-7 binding, the IL-7R activates JAK1 and JAK3 tyrosine kinases, which then activates STAT5 and phosphatidylinositol 3-kinase.	false	Certain
E2	Positive_regulation	activates	positive_DirectRegulation__IL7R______JAK1_E2	/tmp/positive_DirectRegulation__IL7R______JAK1.txt	positive DirectRegulation: IL7R --+> JAK1 :  Upon IL-7 binding, the IL-7R activates JAK1 and JAK3 tyrosine kinases, which then activates STAT5 and phosphatidylinositol 3-kinase.	false	Certain
E3	Binding	binds	positive_DirectRegulation__IL7R______JAK1_E3	/tmp/positive_DirectRegulation__IL7R______JAK1.txt	The intracellular domain of the gammac chain of IL-7R binds Jak3, whereas the intracellular domain of IL-7Ralpha binds Jak1.	false	Certain
E4	Positive_regulation	activate	positive_DirectRegulation__IL7R______JAK1_E4	/tmp/positive_DirectRegulation__IL7R______JAK1.txt	Given that IL-7 could not activate JAK1 phosphorylation through JAK3-E481G, it may be that the JAK3-E481G associated with the γ chain cannot access the JAK1 bound to the IL-7R, upon IL-7 binding.	false	Uncertain
E1	Negative_regulation	affected	negative_PromoterBinding__TP53______BCL2_E1	/tmp/negative_PromoterBinding__TP53______BCL2.txt	negative PromoterBinding: TP53 ---| BCL2 :  Expression of the anti-apoptotic proto-oncogene bcl-2 is negatively affected by the pro-apoptotic p53.	false	Certain
E2	Positive_regulation	increased	negative_PromoterBinding__TP53______BCL2_E2	/tmp/negative_PromoterBinding__TP53______BCL2.txt	Both p53 mutants but especially p53Delta291 increased Bcl-2 protein expression from a CMV-NRE-Bcl-2 cDNA construct in an NRE-position/orientation independent manner as well as from a 1.7 kb Bcl-2 promoter reporter gene.	false	Certain
E3	Gene_expression	expression	negative_PromoterBinding__TP53______BCL2_E3	/tmp/negative_PromoterBinding__TP53______BCL2.txt	Both p53 mutants but especially p53Delta291 increased Bcl-2 protein expression from a CMV-NRE-Bcl-2 cDNA construct in an NRE-position/orientation independent manner as well as from a 1.7 kb Bcl-2 promoter reporter gene.	false	Certain
E4	Negative_regulation	prevent	negative_PromoterBinding__TP53______BCL2_E4	/tmp/negative_PromoterBinding__TP53______BCL2.txt	The results suggest that HeLa apoptosis was induced by tumor necrosis factor-a and interferon -gamma, and the increasing expression of P53 may induce the expression of Bax and prevent the expression of Bcl-2, via the mitochondrial induction of cell apoptosis.	false	Uncertain
E6	Gene_expression	expression	negative_PromoterBinding__TP53______BCL2_E6	/tmp/negative_PromoterBinding__TP53______BCL2.txt	Recombinant adenovirus-p53 could strongly inhibit cell proliferation, induce apoptosis, and arrest cell cycle in stage G(1) in POE-9n cells by inducing p21(CIP/WAF) and downregulating bcl-2 expression.	false	Certain
E4	Positive_regulation	enhances	positive_PromoterBinding__MYC______CCND2_E4	/tmp/positive_PromoterBinding__MYC______CCND2.txt	positive PromoterBinding: MYC --+> CCND2 :  hypoxia-inducible factor-2α, in contrast with HIF-1α, enhances c-Myc activity. (a and b) Hypoxia-induced hypoxia-inducible factor-2α increases c-Myc binding to its partners (Miz1, Sp1, and Max), resulting in further repression of CDKN1A and CDKN1B when c-Myc is repressive (a) and enhanced transcription of CCND2 and E2F1 when c-Myc is activating (b) Full figure and legend (68K) .	false	Certain
E3	Transcription	transcription	positive_PromoterBinding__MYC______CCND2_E3	/tmp/positive_PromoterBinding__MYC______CCND2.txt	positive PromoterBinding: MYC --+> CCND2 :  hypoxia-inducible factor-2α, in contrast with HIF-1α, enhances c-Myc activity. (a and b) Hypoxia-induced hypoxia-inducible factor-2α increases c-Myc binding to its partners (Miz1, Sp1, and Max), resulting in further repression of CDKN1A and CDKN1B when c-Myc is repressive (a) and enhanced transcription of CCND2 and E2F1 when c-Myc is activating (b) Full figure and legend (68K) .	false	Certain
E1	Regulation	regulate	positive_PromoterBinding__MYC______CCND2_E1	/tmp/positive_PromoterBinding__MYC______CCND2.txt	Additionally, E2F1 and MYC have been shown to increase each other's transcription (99), and MYC has been shown to up-regulate Ccnd2 transcription (100).	false	Certain
E2	Transcription	transcription	positive_PromoterBinding__MYC______CCND2_E2	/tmp/positive_PromoterBinding__MYC______CCND2.txt	Additionally, E2F1 and MYC have been shown to increase each other's transcription (99), and MYC has been shown to up-regulate Ccnd2 transcription (100).	false	Certain
E1	Catalysis	phosphorylation	positive_ProtModification__JAK1______STAT5B_E1	/tmp/positive_ProtModification__JAK1______STAT5B.txt	positive ProtModification: JAK1 --+> STAT5B :  The temporal differences between JAK1 and STAT5B abundance suggest direct phosphorylation of STAT5B by JAK1 to be unlikely.	false	Uncertain
E2	Positive_regulation	Activation	positive_ProtModification__JAK1______STAT5B_E2	/tmp/positive_ProtModification__JAK1______STAT5B.txt	Activation of the transcription factors STAT5A and STAT5B by JAK1 and JAK3 tyrosine kinases is a key event in downstream signaling of gammac (common gamma chain)-family cytokine receptors in lymphoid cells.	false	Certain
E3	Activation	Activation	positive_ProtModification__JAK1______STAT5B_E3	/tmp/positive_ProtModification__JAK1______STAT5B.txt	Activation of the transcription factors STAT5A and STAT5B by JAK1 and JAK3 tyrosine kinases is a key event in downstream signaling of gammac (common gamma chain)-family cytokine receptors in lymphoid cells.	false	Certain
E4	Activation	activated	positive_ProtModification__JAK1______STAT5B_E4	/tmp/positive_ProtModification__JAK1______STAT5B.txt	Although overexpression of Jak1 activated transfected Stat5B (lane 3), coexpression of Jak1 with IL-2 receptorsβ caused a higher level of activation of Stat5B than that seen with Jak1 alone (lane 2 versus lane 3).	false	Certain
E5	Positive_regulation	activated	positive_ProtModification__JAK1______STAT5B_E5	/tmp/positive_ProtModification__JAK1______STAT5B.txt	Although overexpression of Jak1 activated transfected Stat5B (lane 3), coexpression of Jak1 with IL-2 receptorsβ caused a higher level of activation of Stat5B than that seen with Jak1 alone (lane 2 versus lane 3).	false	Certain
E7	Binding	bound	positive_PromoterBinding__STAT1______BAX_E7	/tmp/positive_PromoterBinding__STAT1______BAX.txt	positive PromoterBinding: STAT1 --+> BAX :  Similarly, in HEp-2 cells, the serine-phosphorylated STAT1 bound to the Bax promoter in response to streptococcal pyrogenic exotoxin B stimulation, and Bax expression was regulated by p38 (Supplement 3, C and D).	false	Certain
E2	Gene_expression	expression	positive_PromoterBinding__STAT1______BAX_E2	/tmp/positive_PromoterBinding__STAT1______BAX.txt	In addition, streptococcal pyrogenic exotoxin B and G308S increased binding of serine-phosphorylated STAT1 to the Bax promoter and Bax expression, which was decreased by SB203580.	false	Certain
E3	Negative_regulation	reduced	positive_PromoterBinding__STAT1______BAX_E3	/tmp/positive_PromoterBinding__STAT1______BAX.txt	In this study, we found that STAT1 and TA-p73 can interact directly and that p73-mediated Bax promoter activity was observed to be reduced by STAT1 expression in a p53-independent manner for which STAT1 Tyrosine-701 and Serine-727 are key residues.	false	Certain
E4	Gene_expression	expression	positive_PromoterBinding__STAT1______BAX_E4	/tmp/positive_PromoterBinding__STAT1______BAX.txt	p53, p38, and STAT1 siRNAs downregulate streptococcal pyrogenic exotoxin B-induced Bax expression.	false	Certain
E5	Gene_expression	expression	positive_PromoterBinding__STAT1______BAX_E5	/tmp/positive_PromoterBinding__STAT1______BAX.txt	In addition, streptococcal pyrogenic exotoxin B and G308S increased binding of serine-phosphorylated STAT1 to the Bax promoter and Bax expression, which was decreased by SB203580.	false	Certain
E6	Regulation	regulates	positive_PromoterBinding__STAT1______BAX_E6	/tmp/positive_PromoterBinding__STAT1______BAX.txt	STAT1 regulates p73-mediated Bax gene expression.	false	Certain
E1	Positive_regulation	elevated	positive_Expression__Doxorubicin______BAX_E1	/tmp/positive_Expression__Doxorubicin______BAX.txt	positive Expression: Doxorubicin --+> BAX :  The protein levels of Bax and MDM2 were elevated by doxorubicin and attenuated by pifithrin-alpha.	false	Certain
E5	Positive_regulation	induced	positive_Expression__Doxorubicin______BAX_E5	/tmp/positive_Expression__Doxorubicin______BAX.txt	Doxorubicin treatment induced Bax expression and down-regulated Bcl-2 expression.	false	Certain
E6	Gene_expression	expression	positive_Expression__Doxorubicin______BAX_E6	/tmp/positive_Expression__Doxorubicin______BAX.txt	Doxorubicin treatment induced Bax expression and down-regulated Bcl-2 expression.	false	Certain
E7	Gene_expression	expression	positive_Expression__Doxorubicin______BAX_E7	/tmp/positive_Expression__Doxorubicin______BAX.txt	Further studies showed that THSG inhibited reactive oxygen species generation and prevented doxorubicin-induced loss of mitochondrial membrane potential, caspase-3 activation and upregulation of Bax protein expression.	false	Certain
E2	Regulation	induced	positive_Expression__Doxorubicin______BAX_E2	/tmp/positive_Expression__Doxorubicin______BAX.txt	WAF1, c-myc and Bax mRNAs were also induced by doxorubicin in the Wild-type cells but not in the Y8 cells.	false	Certain
E1	Positive_regulation	increased	positive_Expression__vincristine______AKT1_E1	/tmp/positive_Expression__vincristine______AKT1.txt	positive Expression: vincristine --+> AKT1 :  Vincristine but not doxorubicin increased phosphorylated Akt expression whereas co-treatment with phosphatidylinositol 3-kinase inhibitors and vincristine increased apoptosis in the three cell lines.	false	Certain
E2	Gene_expression	expression	positive_Expression__vincristine______AKT1_E2	/tmp/positive_Expression__vincristine______AKT1.txt	positive Expression: vincristine --+> AKT1 :  Vincristine but not doxorubicin increased phosphorylated Akt expression whereas co-treatment with phosphatidylinositol 3-kinase inhibitors and vincristine increased apoptosis in the three cell lines.	false	Certain
E1	Negative_regulation	decreased	negative_Expression__methotrexate______FOS_E1	/tmp/negative_Expression__methotrexate______FOS.txt	negative Expression: methotrexate ---| FOS :  Further, c-Jun and c-Fos protein levels were also reduced by methotrexate-injection , suggesting that methotrexate decreased activator protein 1 activity.	false	Uncertain
E1	Negative_regulation	decreased	positive_PromoterBinding__HIF1A______BIRC5_E1	/tmp/positive_PromoterBinding__HIF1A______BIRC5.txt	positive PromoterBinding: HIF1A --+> BIRC5 :  Inhibition of HIF-1alpha by RNAi decreased the expression of survivin in A549 cell lines.	false	Certain
E2	Transcription	transcription	positive_PromoterBinding__HIF1A______BIRC5_E2	/tmp/positive_PromoterBinding__HIF1A______BIRC5.txt	HIF-1alpha then activated survivin gene transcription through direct binding to the survivin promoter.	false	Certain
